session_id,src_port,auth_success,dwell_time,command_count,cmd_diversity,artefacts_touched,path_depth,read_frac,recon_frac,privesc_frac,read_ops,recon_ops,privesc_ops,intent,depth,kmeans,dbscan,iso_flag,iso_score
b6b486e027e6,64183,True,3.006,3,1.0,0,2,0.0,0.667,0.0,0,2,0,reconnaissance,shallow,1,0,False,0.49334811495035247
c6e46f0e3150,64184,True,2.652,3,1.0,0,2,0.0,0.667,0.0,0,2,0,reconnaissance,shallow,1,0,False,0.4868407096069364
bdcbd51831c6,64185,True,7.696,7,1.0,0,2,0.143,0.714,0.0,1,5,0,reconnaissance,deep,3,1,False,0.48379660657677914
216085902062,64189,True,8.363,8,1.0,0,2,0.125,0.75,0.0,1,6,0,reconnaissance,deep,3,1,False,0.5130134012861173
36ba5e978eff,64191,True,10.263,10,0.9,0,2,0.2,0.7,0.0,2,7,0,reconnaissance,deep_plus,3,1,True,0.5812753489039889
a4d884fca012,64193,True,4.104,4,1.0,3,3,0.5,0.0,0.0,2,0,0,credential_harvesting,shallow,1,-1,True,0.5263713358770965
a046253abdf1,56051,True,1.474,2,1.0,1,2,0.0,0.0,0.0,0,0,0,credential_harvesting,shallow,1,2,True,0.5531198440624251
a450afe65038,56053,True,8.265,7,0.714,4,4,0.571,0.0,0.0,4,0,0,credential_harvesting,deep,0,3,False,0.5094649210237279
c8a53a281079,56055,True,5.651,6,0.833,4,4,0.5,0.0,0.0,3,0,0,credential_harvesting,deep,0,3,False,0.5129755877389772
1845fd4c42ba,56057,True,9.776,9,0.556,6,4,0.667,0.0,0.0,6,0,0,credential_harvesting,deep_plus,0,-1,True,0.6033556294879188
4f09e16cf922,50860,True,1.733,2,1.0,0,2,0.5,0.0,0.0,1,0,0,environment_mapping,shallow,1,-1,False,0.5084909979224795
168c3f796c5e,50861,True,3.258,3,0.667,1,4,0.667,0.0,0.0,2,0,0,environment_mapping,shallow,0,3,False,0.4829590083272169
519bbc687851,50863,True,5.832,5,0.8,1,3,0.4,0.0,0.0,2,0,0,environment_mapping,deep,1,-1,False,0.4825514183647767
97df56eb2f3c,50865,True,5.353,5,0.6,2,4,0.6,0.0,0.0,3,0,0,environment_mapping,deep,0,3,False,0.46788105006127023
0a20643f4ce9,50866,True,6.754,7,0.571,3,4,0.571,0.0,0.0,4,0,0,environment_mapping,deep_plus,0,3,False,0.4692254174025509
99bd198133e6,50867,True,1.723,2,1.0,0,2,0.0,0.0,0.5,0,0,1,privilege_escalation,shallow,1,-1,True,0.5351151752146721
7c3456bea46c,50868,True,2.878,3,1.0,0,2,0.333,0.0,0.667,1,0,2,privilege_escalation,shallow,1,-1,False,0.5013739172657286
9f6036c23b59,50870,True,4.673,5,0.8,0,2,0.2,0.0,0.8,1,0,4,privilege_escalation,deep,2,4,False,0.5178584281655324
4d1c75af4bde,50872,True,7.14,6,0.667,0,2,0.333,0.0,0.833,2,0,5,privilege_escalation,deep,2,4,True,0.5413668274551741
f4ca904ed475,50873,True,7.877,7,0.571,1,2,0.286,0.0,0.857,2,0,6,privilege_escalation,deep_plus,2,4,True,0.5674797024782193
99cc23e60ed6,50875,True,2.761,3,1.0,0,2,0.0,0.0,0.0,0,0,0,data_exfiltration,shallow,1,2,False,0.4516083104632632
9ab7ad2bc7ff,50876,True,3.834,4,1.0,1,4,0.25,0.0,0.0,1,0,0,data_exfiltration,shallow,1,5,False,0.4710681235504282
cc923faef839,50878,True,5.005,5,1.0,1,4,0.2,0.0,0.0,1,0,0,data_exfiltration,deep,1,5,False,0.43760764717789763
5a32463c46f9,50879,True,5.343,5,1.0,1,4,0.2,0.0,0.0,1,0,0,data_exfiltration,deep,1,5,False,0.44281586659769473
b30c774eb795,50881,True,6.632,6,1.0,1,4,0.167,0.0,0.0,1,0,0,data_exfiltration,deep_plus,1,5,False,0.4863689961634912
12b0bdda4f56,50882,True,2.524,3,0.667,1,4,0.667,0.0,0.0,2,0,0,lateral_movement,shallow,0,3,False,0.48550872430540837
a1f1c9a03d11,50884,True,2.809,3,0.667,1,4,0.667,0.0,0.0,2,0,0,lateral_movement,shallow,0,3,False,0.4673742206121794
af1a91e18ee4,50885,True,4.811,5,0.6,2,4,0.6,0.0,0.0,3,0,0,lateral_movement,deep,0,3,False,0.47055749020871523
70ff203606bb,50887,True,5.812,6,0.5,3,4,0.667,0.0,0.0,4,0,0,lateral_movement,deep,0,3,False,0.5081538300947014
09b0d032dc19,50889,True,8.665,8,0.5,3,4,0.5,0.0,0.0,4,0,0,lateral_movement,deep_plus,0,3,True,0.5344993387858848
30cd1b5fa5ab,50890,True,4.232,4,1.0,0,2,0.25,0.25,0.0,1,1,0,honeypot_detection,shallow,1,1,False,0.4328130087062947
64f917c07016,50892,True,4.348,4,1.0,0,2,0.25,0.25,0.0,1,1,0,honeypot_detection,shallow,1,1,False,0.4320563462737239
18cc3afa29a4,50894,True,8.46,7,0.857,0,2,0.286,0.429,0.143,2,3,1,honeypot_detection,deep,3,1,False,0.5227376934457236
f7b4f337724a,50896,True,5.955,6,1.0,0,2,0.167,0.5,0.0,1,3,0,honeypot_detection,deep,3,1,False,0.47120165488399834
96266a702a03,50897,True,10.028,9,0.667,0,2,0.444,0.333,0.111,4,3,1,honeypot_detection,deep_plus,3,-1,True,0.5822941219292844
